sample,train_score,val_score,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,beta_10,beta_11,beta_12,beta_13,beta_14,beta_15,beta_16,beta_17,beta_18,y_mean,y_std,model_intercept
47,0.4154646449360464,0.46965625631081664,0.13176952185849763,-0.21723247534586088,-0.31881331439019417,0.15691487042644098,1.0949590875115014,0.23862621663208308,-0.25717806966946427,-0.005702748537814805,-0.6397452444897656,-1.063443442806573,0.09384559103096049,0.3708408988158114,0.0,-0.14894001172784807,0.5503005040710406,-0.17217041801189564,-1.0029414509542354,0.004641228665752343,-0.35725388063591473,29.272385967892635,0.7756132197543871,0.0
48,0.46840861267011635,0.4605966140956782,-0.388812399164676,-0.42390300556386573,-0.019737786037593696,-0.29656429767108616,0.7832512158693944,0.3142682926203716,-1.0450785924677508,-0.6617436757200384,-1.1358237164479636,-0.864194802294317,-0.12614536113215363,0.1640319918447966,0.0,-0.6784522829182532,1.3600697092845462,-0.036068706375495974,-1.0478756520015433,0.007684592634101771,0.23616566476642573,29.332689655172413,0.8912058468953702,0.0
49,0.4404876484393462,0.4834708247483689,-0.035386882657779374,-0.01685461230205645,-0.14161109120150633,0.2432603444816796,1.1557655948500587,0.34408462643590876,-0.13915116336556674,-0.0904210372999648,-0.20583766049734495,-1.061157082782984,0.1536844422470823,0.17483060673529216,0.0,-0.522323632426385,0.8685213268026623,-0.0332745163371245,-1.4407773569212956,-0.11528303297520916,-0.29462006308305255,29.29130771214857,0.8116770527804369,0.0
50,0.4646158287926042,0.3318561829652078,-0.33768650125937744,-0.3591958588579458,-0.5295888950078171,-0.26549560435535224,0.9541570542776082,-0.09688332808191444,-0.6259712676967548,-0.9237138908529858,-1.7017866854451542,-1.0733367479754221,0.14789490107930794,0.005609634221065523,0.0,-1.0930689181564388,0.593741811788837,-0.034698321781870926,-0.48223222440513586,-0.17679883185457396,-0.05992192815896112,29.150772964227933,0.7862075221509391,0.0
51,0.4888983827811211,0.43602962361683517,-0.8373028404573033,-0.22411755036071448,-0.35665556848988356,-0.31403999496966795,1.1330012820896733,0.49858256073680723,-0.6337979124440826,-0.23841593643691758,-0.7522725961648525,-0.9825540808034987,-0.10566154809326161,0.2685999672345845,0.0,-0.2763240331434566,1.359740312059068,-0.05837552765565391,-0.7671789416318275,0.2930872528545492,-0.3783112122555457,29.306583205586783,0.8408170750051279,0.0
52,0.5163692398530059,0.4072268594279165,-0.2367832857994856,-0.17038347836373136,-0.18307059789594718,-0.10274452280631952,1.0335925051165864,0.27127318713699355,-0.5030943595923248,-0.7467501974155211,-1.3303693678611128,-1.1222347013834764,0.07271215853981648,0.4744325737152171,0.0,-0.9296821730917009,1.3300796226277158,-0.16738872707567215,-0.9796800796333053,0.017484870178644717,-0.06352849878978585,29.3218537414966,0.8806382284984021,0.0
53,0.4542388720214068,0.3835148891679624,-0.7217164784262319,0.26003323984833776,-0.3857503870701593,-0.2929049950918928,0.9284618507993248,0.3550617411170467,-0.21356736452068445,-0.3793105508182131,-0.6299632460784493,0.0,0.06386704204059826,0.16878505312884154,0.0,-0.061895698761031306,1.3840288455372387,-0.2321616001250795,-1.179878839767812,0.17432978325895457,0.21220122829192162,29.395414683036833,0.798575648100713,0.0
54,0.5139213468394213,0.3357057269804625,-0.5126703695571565,-0.3224691676366419,-0.271319645316218,-0.6390306691868253,1.0360071316704347,0.5595751264351807,-1.040643384214407,-0.4295723873661369,-1.4447477966427242,-0.8804437047485557,0.12577787802050694,0.04171311864030407,0.0,-0.6367972245466728,0.9930194352747714,-0.044292108647900494,-0.3313655037662458,0.1993039338551282,-0.2564479190117773,29.219195730192325,0.9140869553131886,0.0
55,0.3843348971271625,0.4584961131738373,-0.24978849106756149,-0.31399857305727386,0.06921979886122707,-0.2768546046779447,1.0481766804777295,0.15975094040262475,-0.8594205333853525,-0.5473078232549394,-0.8577792540482069,0.0,0.568544675807239,-0.005047779472921348,0.0,-0.5858955331135294,1.604190534264218,-0.21426021250531319,-0.7246773038068491,0.006242670601619136,-0.30075309665937944,29.39803048596438,0.7570694386244634,0.0
56,0.5348284453153858,0.3065625485365403,0.20730215098019458,-0.31425461866011795,0.06763101758789156,-0.1976951992008379,1.1705374316236732,0.9621750695893705,-0.8942255131723188,-0.6941100785744925,-0.6303843143262644,-0.790107417190248,0.18992609931894303,0.37622721086049793,0.0,-1.2469584580236892,0.3590007778688253,-0.10146218647839773,-0.6885841069479632,-0.002231213321498141,-0.5085769883473137,29.32247454972592,0.7980041679290752,0.0
